id,name,html_http,html_https,html_external-js,html_iframes,html_XMLHttpRequests,html_scriptTags,html_POST,html_GET,html_objectTags,html_bodyTags,html_imgTags,html_fromCharCode,html_formTags,html_document.write,html_document.writeIn,html_innerHTML,html_createElement('script'),html_tabs.executeScript(),html_appendChild(),html_%u,html_\x,html_\,html_%,html_!,html_href=javascript,html_ClickJack,html_VBScript,html_CoinHive,js_http,js_https,js_iframes,js_XMLHttpRequests,js_external-js,js_POST,js_GET,js_document.write,js_document.writeIn,js_innerHTML,js_fromCharCode,js_createElement('script'),js_keywords,js_tabs.executeScript(),js_appendChild,js_%u,js_\x,js_\,js_!,js_ClickJack,js_CoinHive,css_background-image,css_behavior,css_@import,permission_<all_urls>,permission_http://*/*,permission_https://*/*,permission_*://*/*,permission_webRequest,permission_webRequestBlocking,permission_tabs,permission_storage,permission_history,permission_cookies,permission_notifications,permission_background,permission_unlimitedStorage,permission_contextMenus,permission_management,permission_activeTab,permission_sessions,permission_identity,permission_webNavigation,permission_downloads,permission_debugger,permission_alarms,permission_scripting,permission_search,permission_fileSystem,permission_fileSystem.write,permission_desktopCapture,isMalicious
0,extension_1_5_6_0,0.002,0,0,0,0,0.003780718,0,0,0,0.041666667,0.009787928,0,0,0,0,0,0,0,0,0,0,0,0,0.001633987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003527337,0.00116144,0,5.85E-05,0,0.002477701,0,0,0,5.56E-05,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,extension_2_5_5_0,0.036,0.143302181,0,0.2,0,0.115311909,0,0,0,0.354166667,0.123980424,0,0.12,0,0,0,0,0,0,0,0,0,0.003078668,0.034994553,0,0,0,0,0.05677547,0.01570997,0.040816327,0.05,0.008196721,0.005387931,0.061559508,0,0,0.024691358,0.015098722,0.006968641,0.018378622,0.257142857,0.012884044,0.003496503,0.000104187,0.00036968,0.026075409,0,0,0.133349409,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,extension_4_22202_540_1,0,0,0,0,0,0.001890359,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0.001384768,0.009063444,0.020408163,0.1275,0,0.011853448,0.041039672,0,0,0.010582011,0.106852497,0.003484321,0.031134262,0.085714286,0.027750248,0.041958042,0.001151847,0.011885359,0.056429119,0,0,0.036170726,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,SuperZoom-Vir-Extension,0,0,0,0,0,0.017013233,0,0,0,0.020833333,0.001631321,0,0.04,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0.008704253,0.002618328,0.020408163,0.0125,0.004098361,0.002155172,0.005471956,0,0,0.02292769,0.00232288,0.003484321,0.002352305,0.085714286,0.010406343,0,2.89E-05,0.002096438,0.005417329,0,0,0.033759344,0,0.041666667,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4,extension_1_10_6_0,0,0.003115265,0,0,0,0.007561437,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000544662,0,0,0,0,0.012462908,0.013293051,0,0.02,0,0,0,0,0,0.017636684,0.013937282,0,0.007133518,0,0.017839445,0,0.000451478,0.000830117,0.031748325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,extension_2_3_2_0,0.01,0,0,0,0,0.015122873,0,0,0,0.145833333,0.001631321,0,0,0,0,0,0,0,0,0,0,0,0,0.00122549,0,0,0,0,0.027101879,0.069486405,0,0.1075,0.106557377,0.023706897,0.077975376,0,0,0.32627866,0.037166086,0.003484321,0.012052444,0.485714286,0.081268583,0,0.000144704,0.009354143,0.028031204,0,0,0.007234145,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,extension_1_0_0_4,0,0.00623053,0,0.1,0,0.007561437,0,0,0,0.041666667,0.003262643,0,0,0,0,0,0,0,0,0,0,0,8.10E-05,0.000136166,0,0,0,0,0.004549951,0.006042296,0.040816327,0.0425,0.016393443,0.004310345,0.016415869,0,0,0.052910053,0.00232288,0.008710801,0.00278524,0,0.015361744,0,0.000115764,0.000301731,0.006556357,0,0,0.000241138,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,extension_1_0_0_1,0,0,0,0,0,0.001890359,0,0,0,0.020833333,0.001631321,0,0,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0,0.00040282,0,0.0075,0,0.002155172,0.006839945,0,0,0,0.00116144,0,0.000705778,0,0,0.003496503,0,2.66E-05,0.000794542,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,extension_3_17_2_0,0,0,0,0,0,0.005671078,0,0,0,0.0625,0.001631321,0,0,0,0,0,1,0,0.095238095,0,0,0,8.10E-05,0.000544662,0,0,0,0,0.018199802,0.013897281,0,0.0375,0.016393443,0.007543103,0.016415869,0.013513514,0,0.051146384,0.06387921,0.013937282,0.031842622,0,0.027750248,0,0.003270319,0.007876848,0.080737646,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
9,extension_0_75_0_0,0.002,0,0,0,0,0.06805293,0,0,0,0.104166667,0.053833605,0,0,0,0,0,0,0,0,0,0,0.20071048,0.000162035,0.000680828,0,0,0,0,0.000593472,0.00020141,0.020408163,0.0075,0.004098361,0.001077586,0.005471956,0,0,0.047619048,0.00232288,0.00174216,0.002410833,0,0.007928642,0,2.89E-05,0.00011499,0.003744902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
